poll_id,poll_date,estado,municipio,candidate_id,percentual
PESQ-2026-DEMO-V2,2026-03-10,SP,São José dos Campos,33333333-3333-3333-3333-333333333333,13.90
PESQ-2026-DEMO-V2,2026-03-10,SP,São José dos Campos,44444444-4444-4444-4444-444444444444,8.60
PESQ-2026-DEMO-V2,2026-03-10,SP,São José dos Campos,55555555-5555-5555-5555-555555555555,5.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Sorocaba,11111111-1111-1111-1111-111111111111,36.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Sorocaba,22222222-2222-2222-2222-222222222222,35.60
PESQ-2026-DEMO-V2,2026-03-10,SP,Sorocaba,33333333-3333-3333-3333-333333333333,13.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Sorocaba,44444444-4444-4444-4444-444444444444,8.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Sorocaba,55555555-5555-5555-5555-555555555555,5.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Ubatuba,11111111-1111-1111-1111-111111111111,37.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Ubatuba,22222222-2222-2222-2222-222222222222,35.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Ubatuba,33333333-3333-3333-3333-333333333333,13.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Ubatuba,44444444-4444-4444-4444-444444444444,8.30
PESQ-2026-DEMO-V2,2026-03-10,SP,Ubatuba,55555555-5555-5555-5555-555555555555,5.90
PESQ-2026-DEMO-V2,2026-03-10,SP,Aparecida,11111111-1111-1111-1111-111111111111,38.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Aparecida,22222222-2222-2222-2222-222222222222,34.20
PESQ-2026-DEMO-V2,2026-03-10,SP,Aparecida,33333333-3333-3333-3333-333333333333,14.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Aparecida,44444444-4444-4444-4444-444444444444,8.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Aparecida,55555555-5555-5555-5555-555555555555,5.30
PESQ-2026-DEMO-V2,2026-03-10,SP,Ilhabela,11111111-1111-1111-1111-111111111111,36.90
PESQ-2026-DEMO-V2,2026-03-10,SP,Ilhabela,22222222-2222-2222-2222-222222222222,35.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Ilhabela,33333333-3333-3333-3333-333333333333,13.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Ilhabela,44444444-4444-4444-4444-444444444444,8.20
PESQ-2026-DEMO-V2,2026-03-10,SP,Ilhabela,55555555-5555-5555-5555-555555555555,5.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Campos do Jordão,11111111-1111-1111-1111-111111111111,37.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Campos do Jordão,22222222-2222-2222-2222-222222222222,34.90
PESQ-2026-DEMO-V2,2026-03-10,SP,Campos do Jordão,33333333-3333-3333-3333-333333333333,13.90
PESQ-2026-DEMO-V2,2026-03-10,SP,Campos do Jordão,44444444-4444-4444-4444-444444444444,8.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Campos do Jordão,55555555-5555-5555-5555-555555555555,5.30
PESQ-2026-DEMO-V2,2026-03-10,SP,Águas de São Pedro,11111111-1111-1111-1111-111111111111,41.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Águas de São Pedro,22222222-2222-2222-2222-222222222222,31.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Águas de São Pedro,33333333-3333-3333-3333-333333333333,15.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Águas de São Pedro,44444444-4444-4444-4444-444444444444,7.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Águas de São Pedro,55555555-5555-5555-5555-555555555555,4.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Borá,11111111-1111-1111-1111-111111111111,42.20
PESQ-2026-DEMO-V2,2026-03-10,SP,Borá,22222222-2222-2222-2222-222222222222,31.00
PESQ-2026-DEMO-V2,2026-03-10,SP,Borá,33333333-3333-3333-3333-333333333333,14.80
PESQ-2026-DEMO-V2,2026-03-10,SP,Borá,44444444-4444-4444-4444-444444444444,7.30
PESQ-2026-DEMO-V2,2026-03-10,SP,Borá,55555555-5555-5555-5555-555555555555,4.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Arapeí,11111111-1111-1111-1111-111111111111,40.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Arapeí,22222222-2222-2222-2222-222222222222,32.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Arapeí,33333333-3333-3333-3333-333333333333,15.10
PESQ-2026-DEMO-V2,2026-03-10,SP,Arapeí,44444444-4444-4444-4444-444444444444,7.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Arapeí,55555555-5555-5555-5555-555555555555,4.70
PESQ-2026-DEMO-V2,2026-03-10,SP,Nova Castilho,11111111-1111-1111-1111-111111111111,41.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Nova Castilho,22222222-2222-2222-2222-222222222222,31.40
PESQ-2026-DEMO-V2,2026-03-10,SP,Nova Castilho,33333333-3333-3333-3333-333333333333,14.90
PESQ-2026-DEMO-V2,2026-03-10,SP,Nova Castilho,44444444-4444-4444-4444-444444444444,7.50
PESQ-2026-DEMO-V2,2026-03-10,SP,Nova Castilho,55555555-5555-5555-5555-555555555555,4.70

